ZipCode,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23
85207,,1.0,7.0,6.0,0.0,29.0,8.0,11.0,9.0,12.0,10.0,0.0,9.0,2.0,12.0,27.0,8.0,16.0,-1.0,38.0,0.0,9.0,0.0,66.0,15.0,24.0,31.0,28.0,32.0,36.0,18.0
85208,,3.0,6.0,12.0,0.0,12.0,1.0,10.0,9.0,12.0,6.0,0.0,6.0,4.0,11.0,7.0,19.0,10.0,1.0,22.0,0.0,5.0,0.0,42.0,13.0,17.0,16.0,11.0,18.0,17.0,10.0
85209,,5.0,5.0,4.0,0.0,10.0,2.0,13.0,8.0,5.0,16.0,0.0,16.0,7.0,17.0,19.0,12.0,9.0,0.0,28.0,0.0,9.0,0.0,60.0,19.0,27.0,17.0,13.0,14.0,17.0,14.0
85210,,11.0,5.0,9.0,0.0,7.0,12.0,5.0,12.0,7.0,13.0,0.0,16.0,0.0,18.0,11.0,14.0,11.0,1.0,30.0,0.0,7.0,0.0,49.0,27.0,12.0,22.0,22.0,27.0,20.0,23.0
85212,,4.0,2.0,8.0,0.0,12.0,5.0,4.0,5.0,10.0,9.0,0.0,15.0,5.0,27.0,13.0,16.0,9.0,2.0,36.0,0.0,5.0,0.0,69.0,11.0,32.0,26.0,35.0,19.0,22.0,13.0
85213,,14.0,6.0,0.0,0.0,6.0,5.0,7.0,16.0,4.0,11.0,0.0,11.0,3.0,12.0,15.0,16.0,10.0,1.0,29.0,0.0,15.0,0.0,47.0,11.0,21.0,25.0,19.0,17.0,22.0,18.0
85215,,5.0,2.0,3.0,0.0,5.0,2.0,1.0,4.0,5.0,4.0,0.0,6.0,1.0,4.0,4.0,4.0,11.0,2.0,9.0,0.0,4.0,0.0,19.0,5.0,8.0,7.0,7.0,10.0,10.0,8.0
85224,,5.0,6.0,7.0,0.0,9.0,2.0,7.0,7.0,15.0,16.0,0.0,15.0,8.0,26.0,23.0,14.0,7.0,2.0,30.0,0.0,9.0,0.0,75.0,11.0,20.0,35.0,37.0,17.0,15.0,21.0
85225,,6.0,9.0,23.0,0.0,23.0,12.0,11.0,13.0,19.0,36.0,0.0,38.0,9.0,27.0,30.0,24.0,28.0,1.0,83.0,0.0,19.0,0.0,122.0,32.0,45.0,45.0,51.0,38.0,54.0,42.0
85226,,8.0,1.0,5.0,0.0,7.0,1.0,1.0,7.0,11.0,8.0,0.0,15.0,2.0,4.0,7.0,9.0,12.0,0.0,20.0,0.0,4.0,0.0,48.0,13.0,22.0,25.0,17.0,12.0,13.0,11.0
85233,,2.0,2.0,6.0,0.0,12.0,2.0,10.0,4.0,3.0,12.0,0.0,10.0,1.0,18.0,7.0,11.0,6.0,1.0,31.0,0.0,5.0,0.0,64.0,18.0,21.0,26.0,30.0,23.0,37.0,19.0
85234,,8.0,4.0,23.0,0.0,14.0,5.0,6.0,20.0,22.0,17.0,0.0,15.0,9.0,11.0,16.0,18.0,7.0,3.0,48.0,0.0,10.0,0.0,66.0,20.0,21.0,29.0,38.0,19.0,25.0,25.0
85248,,6.0,0.0,3.0,0.0,5.0,1.0,5.0,3.0,5.0,-1.0,0.0,13.0,-2.0,5.0,4.0,6.0,7.0,0.0,29.0,0.0,8.0,0.0,37.0,9.0,19.0,16.0,20.0,14.0,14.0,11.0
85249,,9.0,1.0,15.0,0.0,13.0,7.0,3.0,13.0,7.0,9.0,0.0,13.0,5.0,12.0,13.0,18.0,15.0,1.0,23.0,0.0,13.0,0.0,62.0,18.0,20.0,13.0,24.0,21.0,37.0,17.0
85250,,4.0,0.0,6.0,0.0,2.0,1.0,5.0,4.0,5.0,2.0,0.0,4.0,1.0,0.0,4.0,6.0,1.0,2.0,11.0,0.0,2.0,0.0,17.0,6.0,7.0,8.0,7.0,4.0,4.0,6.0
85251,,6.0,-2.0,15.0,0.0,8.0,4.0,14.0,5.0,21.0,12.0,0.0,31.0,3.0,12.0,35.0,28.0,17.0,8.0,31.0,0.0,14.0,0.0,96.0,24.0,18.0,24.0,21.0,20.0,10.0,10.0
85253,,0.0,4.0,4.0,0.0,3.0,9.0,2.0,4.0,7.0,3.0,0.0,1.0,1.0,3.0,7.0,1.0,3.0,0.0,6.0,0.0,3.0,0.0,27.0,3.0,6.0,9.0,7.0,3.0,6.0,6.0
85254,,2.0,4.0,12.0,0.0,8.0,4.0,8.0,4.0,14.0,11.0,0.0,12.0,9.0,16.0,14.0,19.0,7.0,0.0,25.0,0.0,11.0,0.0,55.0,12.0,20.0,21.0,20.0,24.0,15.0,17.0
85255,,5.0,1.0,9.0,0.0,16.0,0.0,11.0,6.0,7.0,12.0,0.0,20.0,1.0,5.0,2.0,19.0,8.0,2.0,22.0,0.0,3.0,0.0,52.0,9.0,13.0,53.0,21.0,35.0,32.0,6.0
85256,,8.0,4.0,-1.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,3.0,1.0,3.0,1.0,6.0,0.0,0.0,5.0,0.0,3.0,0.0,1.0,1.0,9.0,3.0,4.0,2.0,7.0,1.0
85257,,1.0,7.0,6.0,0.0,11.0,-2.0,8.0,9.0,16.0,4.0,0.0,6.0,3.0,6.0,12.0,7.0,9.0,0.0,24.0,0.0,6.0,0.0,84.0,13.0,11.0,28.0,17.0,22.0,16.0,13.0
85258,,4.0,2.0,8.0,0.0,8.0,-1.0,6.0,8.0,11.0,-3.0,0.0,13.0,-1.0,7.0,9.0,6.0,8.0,6.0,30.0,0.0,-1.0,0.0,33.0,4.0,14.0,13.0,13.0,6.0,5.0,8.0
85259,,3.0,-1.0,3.0,0.0,3.0,2.0,4.0,3.0,6.0,6.0,0.0,7.0,1.0,2.0,3.0,4.0,4.0,1.0,8.0,0.0,-1.0,0.0,23.0,4.0,12.0,9.0,8.0,11.0,9.0,7.0
85260,,6.0,4.0,6.0,0.0,6.0,5.0,5.0,5.0,14.0,12.0,0.0,11.0,4.0,12.0,7.0,16.0,11.0,1.0,21.0,0.0,13.0,0.0,53.0,14.0,16.0,25.0,34.0,10.0,14.0,7.0
85262,,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,4.0,4.0,3.0,0.0,3.0,0.0,4.0,0.0,14.0,1.0,1.0,19.0,7.0,1.0,6.0,5.0
85263,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,1.0,1.0
85264,,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85266,,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,5.0,0.0,2.0,0.0,10.0,4.0,4.0,11.0,8.0,5.0,5.0,3.0
